baseline,ssdThroughput,addedLatency
461.66122427769915,7077.602483657898,0ms
461.66122427769915,6879.349202121274,0.5ms
461.66122427769915,5587.42409471022,1.0ms
461.66122427769915,4617.535402566681,1.5ms
461.66122427769915,3854.732259138354,2.0ms
461.66122427769915,3282.163462755714,2.5ms
461.66122427769915,2845.2160958492755,3.0ms
461.66122427769915,2551.5178464516353,3.5ms
461.66122427769915,2305.5652086775126,4.0ms
461.66122427769915,2095.288918007754,4.5ms
461.66122427769915,1917.904749570783,5.0ms
461.66122427769915,1771.0842578624909,5.5ms
461.66122427769915,1648.6397698313892,6.0ms
461.66122427769915,1521.800323572242,6.5ms
461.66122427769915,1446.6045535265405,7.0ms
461.66122427769915,1360.7263923133983,7.5ms
461.66122427769915,1287.9401935654382,8.0ms
461.66122427769915,1224.076129281041,8.5ms
461.66122427769915,1169.1875705246991,9.0ms
461.66122427769915,1117.584065502313,9.5ms
461.66122427769915,1069.0032331796122,10.0ms
461.66122427769915,1031.3534701455956,10.5ms
461.66122427769915,989.8126823515272,11.0ms
461.66122427769915,958.402784961538,11.5ms
461.66122427769915,921.9738731704739,12.0ms
461.66122427769915,895.7954530991029,12.5ms
461.66122427769915,871.1985398725125,13.0ms
461.66122427769915,838.7270353460896,13.5ms
461.66122427769915,809.1063873213972,14.0ms
461.66122427769915,731.4310580103432,14.5ms
461.66122427769915,613.9747019374145,15.0ms
461.66122427769915,535.8543541157848,15.5ms
461.66122427769915,453.41654485209955,16.0ms
461.66122427769915,404.5674476669081,16.5ms
461.66122427769915,417.3992437265072,17.0ms
