baseline,ssdThroughput,addedLatency
1199.8926448395544,9695.63778867639,0ms
1199.8926448395544,6141.777169964606,0.5ms
1199.8926448395544,4369.43650677077,1.0ms
1199.8926448395544,3413.5845246406675,1.5ms
1199.8926448395544,2788.9985755037574,2.0ms
1199.8926448395544,2396.6443858621064,2.5ms
1199.8926448395544,2106.1482800769622,3.0ms
1199.8926448395544,1858.5340575984437,3.5ms
1199.8926448395544,1657.398602281012,4.0ms
1199.8926448395544,1514.4363181418476,4.5ms
1199.8926448395544,1385.2844239231172,5.0ms
1199.8926448395544,1271.4476221075504,5.5ms
1199.8926448395544,1173.3359206370071,6.0ms
1199.8926448395544,1099.2556213463286,6.5ms
1199.8926448395544,1027.4360151054861,7.0ms
