baseline,ssdThroughput,addedLatency
857.7717817066015,6719.135114640922,0ms
857.7717817066015,4248.117855389461,0.5ms
857.7717817066015,2964.6986564177837,1.0ms
857.7717817066015,2319.5400050080193,1.5ms
857.7717817066015,1906.9045183988412,2.0ms
857.7717817066015,1640.4026139550772,2.5ms
857.7717817066015,1417.350311037626,3.0ms
857.7717817066015,1246.4235258959059,3.5ms
857.7717817066015,1113.285642809544,4.0ms
857.7717817066015,1017.3731419922028,4.5ms
857.7717817066015,922.6074790278402,5.0ms
857.7717817066015,848.6532147872578,5.5ms
857.7717817066015,783.4153376677085,6.0ms
857.7717817066015,735.9434432956069,6.5ms
