baseline,ssdThroughput,addedLatency
1951.2411821564508,11814.572205505392,0ms
1951.2411821564508,9170.676442906275,0.5ms
1951.2411821564508,7012.129942235712,1.0ms
1951.2411821564508,5624.217211765582,1.5ms
1951.2411821564508,4733.463649236299,2.0ms
1951.2411821564508,4096.298627618845,2.5ms
1951.2411821564508,3570.4400198009594,3.0ms
1951.2411821564508,3239.7220210100145,3.5ms
1951.2411821564508,2949.2752268307754,4.0ms
1951.2411821564508,2710.4501692056874,4.5ms
1951.2411821564508,2506.8747585552924,5.0ms
1951.2411821564508,2330.1051051031855,5.5ms
1951.2411821564508,2183.8354625024895,6.0ms
1951.2411821564508,2049.5651752630047,6.5ms
1951.2411821564508,1936.0656910494272,7.0ms
1951.2411821564508,1847.408270848159,7.5ms
1951.2411821564508,1755.9851891708877,8.0ms
