baseline,ssdThroughput,addedLatency
252.53332938852773,876.0191724317824,0ms
252.53332938852773,1080.948785845025,0.5ms
252.53332938852773,976.026548557084,1.0ms
252.53332938852773,889.0737231678668,1.5ms
252.53332938852773,741.4329320876883,2.0ms
252.53332938852773,628.2568156077124,2.5ms
252.53332938852773,558.9382445940167,3.0ms
252.53332938852773,489.8576779949485,3.5ms
252.53332938852773,481.59151047327094,4.0ms
252.53332938852773,470.7609734704318,4.5ms
252.53332938852773,442.6807389145096,5.0ms
252.53332938852773,447.30168312795644,5.5ms
252.53332938852773,447.2715991183716,6.0ms
252.53332938852773,453.448907737657,6.5ms
252.53332938852773,441.63321837379664,7.0ms
252.53332938852773,438.6000680898275,7.5ms
252.53332938852773,426.9065883894139,8.0ms
252.53332938852773,412.838742008629,8.5ms
252.53332938852773,398.2752571168449,9.0ms
252.53332938852773,377.9622246985144,9.5ms
252.53332938852773,370.32239830229236,10.0ms
252.53332938852773,367.47293774443216,10.5ms
252.53332938852773,350.9283398170954,11.0ms
252.53332938852773,343.362744161535,11.5ms
252.53332938852773,343.205590992983,12.0ms
252.53332938852773,331.61847570256896,12.5ms
252.53332938852773,326.89848951800286,13.0ms
252.53332938852773,321.4152560727003,13.5ms
252.53332938852773,313.11452366012645,14.0ms
252.53332938852773,305.1916953900755,14.5ms
252.53332938852773,302.1507297496094,15.0ms
252.53332938852773,293.6717820844877,15.5ms
252.53332938852773,291.0367664441178,16.0ms
252.53332938852773,287.07198044255296,16.5ms
252.53332938852773,279.49763394738807,17.0ms
252.53332938852773,276.73663723524925,17.5ms
252.53332938852773,273.33649903473815,18.0ms
252.53332938852773,268.18010132827277,18.5ms
252.53332938852773,262.9416515327226,19.0ms
252.53332938852773,256.94830008399225,19.5ms
252.53332938852773,251.80658868491426,20.0ms
252.53332938852773,245.71292600870683,20.5ms
252.53332938852773,239.7632195941011,21.0ms
