baseline,ssdThroughput,addedLatency
186.70257152322813,1544.3311037975943,0ms
186.70257152322813,935.3438177581489,0.5ms
186.70257152322813,677.0232852456342,1.0ms
186.70257152322813,528.4962836973833,1.5ms
186.70257152322813,443.0000105183288,2.0ms
186.70257152322813,380.55149088734316,2.5ms
186.70257152322813,330.71484387232164,3.0ms
186.70257152322813,294.81885940699726,3.5ms
186.70257152322813,267.8756190868686,4.0ms
186.70257152322813,242.59096938391986,4.5ms
186.70257152322813,224.4397991197925,5.0ms
186.70257152322813,208.19887666086993,5.5ms
186.70257152322813,192.93440575874646,6.0ms
186.70257152322813,178.4907885683067,6.5ms
186.70257152322813,166.72119704454192,7.0ms
186.70257152322813,158.4248650484119,7.5ms
