baseline,ssdThroughput,addedLatency
1586.6814146004,9556.59821867588,0ms
1586.6814146004,6921.805183895153,0.5ms
1586.6814146004,5083.552072826624,1.0ms
1586.6814146004,3958.351672677618,1.5ms
1586.6814146004,3313.4945537343738,2.0ms
1586.6814146004,2861.171076926446,2.5ms
1586.6814146004,2516.5926492495064,3.0ms
1586.6814146004,2259.979745433658,3.5ms
1586.6814146004,2056.5634578986087,4.0ms
1586.6814146004,1874.418739934781,4.5ms
1586.6814146004,1730.0403260017313,5.0ms
1586.6814146004,1621.7657992550503,5.5ms
1586.6814146004,1522.6275204467847,6.0ms
1586.6814146004,1427.8203231029504,6.5ms
1586.6814146004,1333.3166491031632,7.0ms
