baseline,ssdThroughput,addedLatency
276.1173713830232,3172.7050403908015,0ms
276.1173713830232,1717.7028643811634,0.5ms
276.1173713830232,1169.6090322472037,1.0ms
276.1173713830232,892.2429898972124,1.5ms
276.1173713830232,734.4282473195823,2.0ms
276.1173713830232,616.7240110714074,2.5ms
276.1173713830232,535.0497287952829,3.0ms
276.1173713830232,471.4966819927742,3.5ms
276.1173713830232,423.3674775394148,4.0ms
276.1173713830232,380.3594321539827,4.5ms
276.1173713830232,348.8998912275365,5.0ms
276.1173713830232,320.56148665262805,5.5ms
276.1173713830232,295.73710639332575,6.0ms
276.1173713830232,277.08677978186057,6.5ms
276.1173713830232,258.153523948325,7.0ms
276.1173713830232,242.15822578612574,7.5ms
276.1173713830232,228.62045814328917,8.0ms
