baseline,ssdThroughput,addedLatency
241.68086209605113,332.10478753198254,0ms
241.68086209605113,321.0972082190321,0.5ms
241.68086209605113,311.26939129339786,1.0ms
241.68086209605113,297.56566925004375,1.5ms
241.68086209605113,288.5184801554647,2.0ms
241.68086209605113,276.427316662314,2.5ms
241.68086209605113,268.05220918340814,3.0ms
241.68086209605113,258.7112219012275,3.5ms
241.68086209605113,250.44538276071737,4.0ms
241.68086209605113,242.58287085169755,4.5ms
241.68086209605113,235.47993396199936,5.0ms
241.68086209605113,228.19526471023923,5.5ms
241.68086209605113,221.02118925560288,6.0ms
