baseline,ssdThroughput,addedLatency
125.84014488029841,889.5229687522033,0ms
125.84014488029841,496.79500726871015,0.5ms
125.84014488029841,349.17718012455606,1.0ms
125.84014488029841,272.90492991278006,1.5ms
125.84014488029841,224.03710889360892,2.0ms
125.84014488029841,194.80586082175287,2.5ms
125.84014488029841,169.433951674005,3.0ms
125.84014488029841,149.55965743988583,3.5ms
125.84014488029841,133.83414923945847,4.0ms
125.84014488029841,123.18591488445246,4.5ms
125.84014488029841,112.3024873533058,5.0ms
125.84014488029841,103.21315779828466,5.5ms
