baseline,ssdThroughput,addedLatency
2033.070734093306,12258.233591623517,0ms
2033.070734093306,8406.636631110325,0.5ms
2033.070734093306,6096.367549189905,1.0ms
2033.070734093306,4759.363477952222,1.5ms
2033.070734093306,3875.7281403445413,2.0ms
2033.070734093306,3313.522611391278,2.5ms
2033.070734093306,2886.3711920866554,3.0ms
2033.070734093306,2531.712518561147,3.5ms
2033.070734093306,2258.768022928852,4.0ms
2033.070734093306,2033.8180619193438,4.5ms
2033.070734093306,1866.4794643201524,5.0ms
2033.070734093306,1712.4579039255257,5.5ms
2033.070734093306,1577.294256451296,6.0ms
