baseline,ssdThroughput,addedLatency
1218.4268425379078,10429.207918846185,0ms
1218.4268425379078,6706.9426162815,0.5ms
1218.4268425379078,4676.734307211038,1.0ms
1218.4268425379078,3625.1817429070975,1.5ms
1218.4268425379078,2986.5868771807495,2.0ms
1218.4268425379078,2500.255957067549,2.5ms
1218.4268425379078,2173.9471542887736,3.0ms
1218.4268425379078,1916.8955884670765,3.5ms
1218.4268425379078,1703.1634175821102,4.0ms
1218.4268425379078,1542.9405830569704,4.5ms
1218.4268425379078,1410.5062770224176,5.0ms
1218.4268425379078,1292.409033192492,5.5ms
1218.4268425379078,1193.5096415178068,6.0ms
1218.4268425379078,1113.7263662837422,6.5ms
1218.4268425379078,1039.9088680995494,7.0ms
