baseline,ssdThroughput,addedLatency
149.33925499542048,1272.3880734528093,0ms
149.33925499542048,721.2838204033811,0.5ms
149.33925499542048,517.9371822026553,1.0ms
149.33925499542048,401.9247127968412,1.5ms
149.33925499542048,332.5234941616255,2.0ms
149.33925499542048,284.5730886916953,2.5ms
149.33925499542048,250.05008694343715,3.0ms
149.33925499542048,221.86583412407117,3.5ms
149.33925499542048,200.15442918599413,4.0ms
149.33925499542048,183.80964503681386,4.5ms
149.33925499542048,167.89752911069013,5.0ms
149.33925499542048,154.42991168473478,5.5ms
149.33925499542048,142.73602059426113,6.0ms
149.33925499542048,134.14083202627415,6.5ms
149.33925499542048,125.87919931734052,7.0ms
