baseline,ssdThroughput,addedLatency
280.6566404939843,2352.0344492290446,0ms
280.6566404939843,1207.8472593374884,0.5ms
280.6566404939843,819.3892479434004,1.0ms
280.6566404939843,639.2554937574197,1.5ms
280.6566404939843,510.7750113597385,2.0ms
280.6566404939843,426.94365323897955,2.5ms
280.6566404939843,363.49685169448986,3.0ms
280.6566404939843,320.66561791106113,3.5ms
280.6566404939843,287.83678187742794,4.0ms
280.6566404939843,259.2254584287635,4.5ms
280.6566404939843,235.01703209822543,5.0ms
280.6566404939843,215.49743725765552,5.5ms
