baseline,ssdThroughput,addedLatency
1018.1665036814611,10411.398092687994,0ms
1018.1665036814611,8768.285077058234,0.5ms
1018.1665036814611,6610.351320827232,1.0ms
1018.1665036814611,5333.607647061667,1.5ms
1018.1665036814611,4421.775110445028,2.0ms
1018.1665036814611,3785.8541136182735,2.5ms
1018.1665036814611,3243.3614452388188,3.0ms
1018.1665036814611,2944.6376150656274,3.5ms
1018.1665036814611,2676.573120751192,4.0ms
1018.1665036814611,2449.3133129668763,4.5ms
1018.1665036814611,2250.8417539034367,5.0ms
1018.1665036814611,2093.6418890260124,5.5ms
1018.1665036814611,1949.7212111267165,6.0ms
1018.1665036814611,1828.1374051376213,6.5ms
1018.1665036814611,1721.9770642766318,7.0ms
1018.1665036814611,1634.0974543931559,7.5ms
1018.1665036814611,1550.6995689050564,8.0ms
1018.1665036814611,1478.7822108431767,8.5ms
1018.1665036814611,1407.8821034779223,9.0ms
1018.1665036814611,1352.2724753656632,9.5ms
1018.1665036814611,1294.9927761379274,10.0ms
1018.1665036814611,1245.0530143023732,10.5ms
1018.1665036814611,1196.473230869514,11.0ms
1018.1665036814611,1154.9078857737425,11.5ms
1018.1665036814611,1115.2015276542268,12.0ms
1018.1665036814611,1079.7312577709647,12.5ms
1018.1665036814611,1046.4632540855685,13.0ms
1018.1665036814611,1015.464386459561,13.5ms
1018.1665036814611,987.5770816709509,14.0ms
1018.1665036814611,959.5130022940211,14.5ms
