baseline,ssdThroughput,addedLatency
721.2212465845029,4933.6855036921415,0ms
721.2212465845029,3492.6942817278355,0.5ms
721.2212465845029,2496.2788881449615,1.0ms
721.2212465845029,1957.8933409961653,1.5ms
721.2212465845029,1612.012873016353,2.0ms
721.2212465845029,1384.7953307837422,2.5ms
721.2212465845029,1219.9159426571175,3.0ms
721.2212465845029,1090.317358667801,3.5ms
721.2212465845029,997.2023059010112,4.0ms
721.2212465845029,915.1495521365156,4.5ms
721.2212465845029,850.8335121739141,5.0ms
721.2212465845029,790.9823747098061,5.5ms
721.2212465845029,739.8446128444847,6.0ms
721.2212465845029,691.8077942067536,6.5ms
721.2212465845029,660.0539340177826,7.0ms
721.2212465845029,631.0694015308286,7.5ms
