baseline,ssdThroughput,addedLatency
551.1867927513007,4374.068264446414,0ms
551.1867927513007,2399.357084212324,0.5ms
551.1867927513007,1645.0437794796483,1.0ms
551.1867927513007,1270.131063199825,1.5ms
551.1867927513007,1019.5536228009163,2.0ms
551.1867927513007,851.0892048198781,2.5ms
551.1867927513007,722.0863579222313,3.0ms
551.1867927513007,638.8497787956924,3.5ms
551.1867927513007,575.1424765365181,4.0ms
551.1867927513007,517.254053053735,4.5ms
551.1867927513007,467.3712818688826,5.0ms
551.1867927513007,427.2037540819021,5.5ms
