baseline,ssdThroughput,addedLatency
445.5854662232908,3890.883701159563,0ms
445.5854662232908,2238.4967979384332,0.5ms
445.5854662232908,1540.278332896173,1.0ms
445.5854662232908,1171.121528272575,1.5ms
445.5854662232908,944.8953129664361,2.0ms
445.5854662232908,818.8462481353481,2.5ms
445.5854662232908,708.9280785669476,3.0ms
445.5854662232908,630.9135674178706,3.5ms
445.5854662232908,565.1962777313314,4.0ms
445.5854662232908,511.3717378209738,4.5ms
445.5854662232908,465.8477051357168,5.0ms
445.5854662232908,426.1515592999255,5.5ms
445.5854662232908,395.3507580649388,6.0ms
445.5854662232908,367.463356533183,6.5ms
