baseline,ssdThroughput,addedLatency
341.1281699309831,3671.9924354326467,0ms
341.1281699309831,2498.847372841263,0.5ms
341.1281699309831,1844.623796224664,1.0ms
341.1281699309831,1454.3564854906028,1.5ms
341.1281699309831,1202.2892072887928,2.0ms
341.1281699309831,1024.2093165052095,2.5ms
341.1281699309831,896.3765133699611,3.0ms
341.1281699309831,800.9522514003396,3.5ms
341.1281699309831,729.2794907931057,4.0ms
341.1281699309831,660.3219841277474,4.5ms
341.1281699309831,604.2151943707905,5.0ms
341.1281699309831,557.1724522833642,5.5ms
341.1281699309831,526.3543198300583,6.0ms
341.1281699309831,495.0023495909429,6.5ms
341.1281699309831,464.56873899248393,7.0ms
341.1281699309831,435.4607623877516,7.5ms
341.1281699309831,416.48150125645867,8.0ms
341.1281699309831,398.8467920548571,8.5ms
341.1281699309831,381.26564549133445,9.0ms
341.1281699309831,364.53635647491564,9.5ms
341.1281699309831,350.0227208304579,10.0ms
341.1281699309831,336.41804794318375,10.5ms
341.1281699309831,327.71981833711425,11.0ms
341.1281699309831,316.7447811092206,11.5ms
