baseline,ssdThroughput,addedLatency
558.6876634563342,4676.958802030756,0ms
558.6876634563342,2583.2037330655317,0.5ms
558.6876634563342,1761.7901896397914,1.0ms
558.6876634563342,1312.0372141192804,1.5ms
558.6876634563342,1050.7164982288048,2.0ms
558.6876634563342,882.8327466229317,2.5ms
558.6876634563342,749.3672154351489,3.0ms
558.6876634563342,653.6438048353028,3.5ms
558.6876634563342,587.6859727708444,4.0ms
558.6876634563342,524.639213827251,4.5ms
558.6876634563342,475.4201423070299,5.0ms
558.6876634563342,436.9408662828692,5.5ms
