baseline,ssdThroughput,addedLatency
368.6857089343342,2826.581451089614,0ms
368.6857089343342,1832.8649619499586,0.5ms
368.6857089343342,1302.880522855613,1.0ms
368.6857089343342,1006.595144372961,1.5ms
368.6857089343342,823.194678911616,2.0ms
368.6857089343342,695.1255094714105,2.5ms
368.6857089343342,603.3896671169265,3.0ms
368.6857089343342,548.5943548951669,3.5ms
368.6857089343342,499.43957354836397,4.0ms
368.6857089343342,456.13368683055916,4.5ms
368.6857089343342,417.5072162362601,5.0ms
368.6857089343342,392.1239215727924,5.5ms
368.6857089343342,364.5430452596561,6.0ms
368.6857089343342,343.4021705727177,6.5ms
368.6857089343342,324.5115947455068,7.0ms
