baseline,ssdThroughput,addedLatency
1869.6273252513972,11189.92810554998,0ms
1869.6273252513972,7698.480270442651,0.5ms
1869.6273252513972,5608.149777962684,1.0ms
1869.6273252513972,4449.393717832292,1.5ms
1869.6273252513972,3689.4882525942867,2.0ms
1869.6273252513972,3195.6066908408243,2.5ms
1869.6273252513972,2749.742821480897,3.0ms
1869.6273252513972,2445.6502416534263,3.5ms
1869.6273252513972,2214.1625633963663,4.0ms
1869.6273252513972,1997.9620490406403,4.5ms
1869.6273252513972,1824.2762604979525,5.0ms
1869.6273252513972,1683.6192304207673,5.5ms
1869.6273252513972,1559.2796390350165,6.0ms
