baseline,ssdThroughput,addedLatency
148.98856466871425,1084.5268076324676,0ms
148.98856466871425,595.9943290337725,0.5ms
148.98856466871425,399.13623696113063,1.0ms
148.98856466871425,310.76122633962126,1.5ms
148.98856466871425,247.86783463197466,2.0ms
148.98856466871425,210.64077352705445,2.5ms
148.98856466871425,180.87343732437424,3.0ms
148.98856466871425,158.70576834185172,3.5ms
148.98856466871425,142.90444997750856,4.0ms
148.98856466871425,128.24121943699967,4.5ms
148.98856466871425,117.21975440084628,5.0ms
