baseline,ssdThroughput,addedLatency
1218.5565272648535,8453.100553273318,0ms
1218.5565272648535,5001.994391114981,0.5ms
1218.5565272648535,3431.948842790049,1.0ms
1218.5565272648535,2598.0831915238336,1.5ms
1218.5565272648535,2118.0870339577796,2.0ms
1218.5565272648535,1764.851598397471,2.5ms
1218.5565272648535,1510.1273130809548,3.0ms
1218.5565272648535,1314.3025529192444,3.5ms
1218.5565272648535,1171.3770928907727,4.0ms
1218.5565272648535,1054.2284980702361,4.5ms
1218.5565272648535,959.6993730898299,5.0ms
