baseline,ssdThroughput,addedLatency
2482.5659730525003,15378.6554324769,0ms
2482.5659730525003,11264.32726698321,0.5ms
2482.5659730525003,8437.914916545897,1.0ms
2482.5659730525003,6754.800838993161,1.5ms
2482.5659730525003,5551.6575657144085,2.0ms
2482.5659730525003,4778.350767967412,2.5ms
2482.5659730525003,4174.084635170661,3.0ms
2482.5659730525003,3685.6664945818484,3.5ms
2482.5659730525003,3304.161351274242,4.0ms
2482.5659730525003,2985.622410775894,4.5ms
2482.5659730525003,2742.7751447774076,5.0ms
2482.5659730525003,2526.6351803202438,5.5ms
2482.5659730525003,2333.619413871949,6.0ms
2482.5659730525003,2177.5290459425237,6.5ms
2482.5659730525003,2033.7352614253377,7.0ms
