baseline,ssdThroughput,addedLatency
1342.303049869998,10899.882596409157,0ms
1342.303049869998,6966.197137014867,0.5ms
1342.303049869998,4922.2409684907625,1.0ms
1342.303049869998,3835.1585485677874,1.5ms
1342.303049869998,3097.7076686781934,2.0ms
1342.303049869998,2580.946167442935,2.5ms
1342.303049869998,2218.8419095608187,3.0ms
1342.303049869998,1945.2468225524965,3.5ms
1342.303049869998,1736.701668931478,4.0ms
1342.303049869998,1567.0385242457487,4.5ms
1342.303049869998,1422.6916528317363,5.0ms
1342.303049869998,1305.6379677220746,5.5ms
1342.303049869998,1205.7884565602205,6.0ms
1342.303049869998,1125.4246114965729,6.5ms
