baseline,ssdThroughput,addedLatency
1094.908535668192,8043.552355431098,0ms
1094.908535668192,4771.996780492632,0.5ms
1094.908535668192,3248.047789221473,1.0ms
1094.908535668192,2486.4478951020888,1.5ms
1094.908535668192,2030.307120073163,2.0ms
1094.908535668192,1690.2860837699925,2.5ms
1094.908535668192,1460.9621851410247,3.0ms
1094.908535668192,1288.6583665363653,3.5ms
1094.908535668192,1142.916777958576,4.0ms
1094.908535668192,1029.8392355144497,4.5ms
1094.908535668192,945.6022296879736,5.0ms
1094.908535668192,864.415532377578,5.5ms
