baseline,ssdThroughput,addedLatency
2213.9664239855897,14235.737816847077,0ms
2213.9664239855897,10310.07741839316,0.5ms
2213.9664239855897,7770.319245778173,1.0ms
2213.9664239855897,6274.368452767411,1.5ms
2213.9664239855897,5231.480379897744,2.0ms
2213.9664239855897,4473.2396618229,2.5ms
2213.9664239855897,3986.947138535789,3.0ms
2213.9664239855897,3571.681918847243,3.5ms
2213.9664239855897,3207.449289664033,4.0ms
2213.9664239855897,2941.9174841439667,4.5ms
2213.9664239855897,2693.540256906484,5.0ms
2213.9664239855897,2473.5373496451534,5.5ms
2213.9664239855897,2306.8990040632966,6.0ms
2213.9664239855897,2150.1371719924623,6.5ms
2213.9664239855897,2006.6911232455925,7.0ms
2213.9664239855897,1894.9217671054255,7.5ms
