baseline,ssdThroughput,addedLatency
326.3306793052921,3128.7030229596035,0ms
326.3306793052921,1800.316164223095,0.5ms
326.3306793052921,1205.3352237574443,1.0ms
326.3306793052921,910.8768700769524,1.5ms
326.3306793052921,753.2339628624591,2.0ms
326.3306793052921,632.943863931328,2.5ms
326.3306793052921,540.4023066984952,3.0ms
326.3306793052921,474.1929336903726,3.5ms
326.3306793052921,428.3496076963373,4.0ms
326.3306793052921,385.3277515057216,4.5ms
326.3306793052921,349.73786629175044,5.0ms
326.3306793052921,322.09237448617546,5.5ms
326.3306793052921,298.3283797580838,6.0ms
326.3306793052921,279.1448503268281,6.5ms
