baseline,ssdThroughput,addedLatency
174.3207559003716,1659.417391344673,0ms
174.3207559003716,855.375391714644,0.5ms
174.3207559003716,577.8805778344489,1.0ms
174.3207559003716,441.37988482384975,1.5ms
174.3207559003716,364.00498556676257,2.0ms
174.3207559003716,304.91987756400334,2.5ms
174.3207559003716,262.9344260196329,3.0ms
174.3207559003716,233.9994848996005,3.5ms
174.3207559003716,208.73305692437816,4.0ms
174.3207559003716,190.001171050358,4.5ms
174.3207559003716,173.18588080959793,5.0ms
174.3207559003716,159.0548944678977,5.5ms
174.3207559003716,147.71980642313363,6.0ms
