baseline,ssdThroughput,addedLatency
795.0957701126669,7322.123756689867,0ms
795.0957701126669,5248.047004762041,0.5ms
795.0957701126669,3801.696943320081,1.0ms
795.0957701126669,2970.500056547155,1.5ms
795.0957701126669,2439.964560281362,2.0ms
795.0957701126669,2103.8764312179965,2.5ms
795.0957701126669,1836.6341646670742,3.0ms
795.0957701126669,1637.2894578305065,3.5ms
795.0957701126669,1479.3890968895946,4.0ms
795.0957701126669,1347.9033674691912,4.5ms
795.0957701126669,1240.1307503495157,5.0ms
795.0957701126669,1154.1452203116444,5.5ms
795.0957701126669,1076.701508849052,6.0ms
795.0957701126669,1012.0701362979967,6.5ms
795.0957701126669,956.7156981364005,7.0ms
795.0957701126669,902.0568138726072,7.5ms
795.0957701126669,857.15020618983,8.0ms
795.0957701126669,819.2906811927734,8.5ms
795.0957701126669,780.7496946335978,9.0ms
795.0957701126669,750.5955883774532,9.5ms
795.0957701126669,718.4735092014256,10.0ms
