baseline,ssdThroughput,addedLatency
220.24669056025314,1804.1654412410492,0ms
220.24669056025314,1258.8003735841653,0.5ms
220.24669056025314,920.6127551342771,1.0ms
220.24669056025314,725.4603558002458,1.5ms
220.24669056025314,612.7734122623725,2.0ms
220.24669056025314,520.760956661626,2.5ms
220.24669056025314,461.87844742498027,3.0ms
220.24669056025314,414.83689900119003,3.5ms
220.24669056025314,376.0857582787105,4.0ms
220.24669056025314,350.1426142968581,4.5ms
220.24669056025314,322.0360464123775,5.0ms
220.24669056025314,303.71719104029074,5.5ms
220.24669056025314,283.8160348274262,6.0ms
220.24669056025314,265.309506575211,6.5ms
220.24669056025314,250.13423030675133,7.0ms
220.24669056025314,235.86178624106205,7.5ms
220.24669056025314,221.59442808832554,8.0ms
220.24669056025314,208.90971225202375,8.5ms
220.24669056025314,199.96730678151377,9.0ms
220.24669056025314,190.7764756564125,9.5ms
