baseline,ssdThroughput,addedLatency
680.0872690492738,6378.26167825286,0ms
680.0872690492738,3715.511105001971,0.5ms
680.0872690492738,2519.569131734623,1.0ms
680.0872690492738,1928.1228720842134,1.5ms
680.0872690492738,1541.5884327702286,2.0ms
680.0872690492738,1284.1121528096057,2.5ms
680.0872690492738,1112.1621685162725,3.0ms
680.0872690492738,970.7196762006615,3.5ms
680.0872690492738,863.1416607556506,4.0ms
680.0872690492738,780.7645667016795,4.5ms
680.0872690492738,708.406536863224,5.0ms
680.0872690492738,651.406896318737,5.5ms
680.0872690492738,601.2328452829548,6.0ms
680.0872690492738,560.0504175485562,6.5ms
