baseline,ssdThroughput,addedLatency
472.0201054603504,4251.704797518484,0ms
472.0201054603504,3731.8874254004745,0.5ms
472.0201054603504,2897.8511633488038,1.0ms
472.0201054603504,2348.9881513640153,1.5ms
472.0201054603504,1959.3210467903752,2.0ms
472.0201054603504,1689.7860299257584,2.5ms
472.0201054603504,1489.2834148334862,3.0ms
472.0201054603504,1324.2227025761144,3.5ms
472.0201054603504,1202.9405514681548,4.0ms
472.0201054603504,1099.8159077826676,4.5ms
472.0201054603504,1020.1635027134408,5.0ms
472.0201054603504,949.9262368960472,5.5ms
472.0201054603504,894.5631045093282,6.0ms
472.0201054603504,843.8058848101399,6.5ms
472.0201054603504,800.0721481352585,7.0ms
472.0201054603504,758.906857264572,7.5ms
472.0201054603504,727.9456206756395,8.0ms
472.0201054603504,697.6910820356983,8.5ms
472.0201054603504,669.4923114581301,9.0ms
472.0201054603504,644.7121994597532,9.5ms
472.0201054603504,616.1277997288975,10.0ms
472.0201054603504,589.715382240884,10.5ms
472.0201054603504,568.1983322365754,11.0ms
472.0201054603504,552.7504952670129,11.5ms
472.0201054603504,532.6610074080677,12.0ms
472.0201054603504,515.7716654852642,12.5ms
472.0201054603504,500.283511974653,13.0ms
472.0201054603504,487.0724654254377,13.5ms
472.0201054603504,468.15250756003724,14.0ms
472.0201054603504,456.6208749703353,14.5ms
472.0201054603504,447.92697666454313,15.0ms
